uid,lat_fixed,lon_fixed,date,sat_date,abun,sensor,B2,B3,B4,B5,NDCI,NDWI
kfto,35.67967990229039,-79.21246103384645,20170920,2017-09-21,6.7769999504089355,S2,505,623,684,984,0.17985612,-0.5240642
aahy,35.72652275885684,-79.12545951319267,20140812,2014-08-05,6.099999904632568,L8,7471,8194,7681,14057,0.29331124,-0.26349378
uals,35.726549513463155,-79.12541046308108,20140812,2014-08-05,17.645000457763672,L8,7471,8194,7681,14057,0.29331124,-0.26349378
vlmk,36.03000025835226,-78.7046898195874,20211118,2021-11-09,18.152999877929688,S2,107,255,143,484,0.54385966,-0.76399815
etwj,35.65402223482886,-79.26011544680462,20141008,2014-10-08,2.7230000495910645,L8,28978,28748,28058,29160,0.019259673,-0.0071147336
ufof,35.654361126508924,-79.01017391455687,20160810,2016-08-10,12.586000442504883,L8,7720,8458,8104,14359,0.2784579,-0.25862294
tdki,35.699054696367604,-79.17647162924409,20140519,2014-05-17,1.5980000495910645,L8,8360,9627,8669,24564,0.47828966,-0.43686935
nkuz,35.69902794176129,-79.17652513845673,20140519,2014-05-17,3.5940001010894775,L8,8360,9627,8669,24564,0.47828966,-0.43686935
spzt,35.70717471938593,-79.16139540858238,20160831,2016-08-22,0.621999979019165,S2,118,288,135,540,0.6,-0.8217822
egmr,35.70714796477962,-79.16144445869398,20160831,2016-08-22,1.1619999408721924,S2,118,288,135,540,0.6,-0.8217822
phxr,35.62741031974189,-79.30954904108313,20150806,2015-08-08,2.9049999713897705,L8,7896,8802,8378,18342,0.37290418,-0.35145888
sqmt,35.63763057935638,-79.2905666478986,20150723,NONE,18.759000778198242,NONE,0,,,,0,0
qkwh,35.6816240703497,-79.2088536210942,20161018,2016-10-13,12.130999565124512,L8,8069,8637,8655,13489,0.2182984,-0.21928953
lbgn,35.87433749967752,-78.87246795582436,20200715,2020-07-12,2.9049999713897705,S2,379,721,470,1298,0.4683258,-0.6430693
yrbv,35.8662932813771,-78.80809191391576,20160303,NONE,0.28999999165534973,NONE,0,,,,0,0
reod,35.67978692071567,-79.2122648334001,20170920,2017-09-21,14.038999557495117,S2,451,550,627,910,0.18412492,-0.51584506
rhvv,35.63773313868062,-79.29037044745225,20150707,2015-07-07,10.142999649047852,L8,7893,8677,8295,15869,0.3134415,-0.2930009
krvb,35.63590044814765,-79.29378165975814,20160621,NONE,10.35200023651123,NONE,0,,,,0,0
kamn,35.98000035823997,-78.81206943205544,20191009,2019-10-11,6.293000221252441,S2,745,920,1032,1246,0.09394205,-0.38275746
kwlo,35.67989393914095,-79.2120641738527,20170821,NONE,10.20199966430664,NONE,0,,,,0,0
iuod,35.87918454252261,-78.91124429858512,20150622,2015-06-21,6.534999847412109,L8,9594,10636,10758,16823,0.21989776,-0.22531775
tffg,34.941003058180755,-79.10093891649977,20160615,2016-06-07,9.682000160217285,L8,7911,8735,8160,18853,0.39584646,-0.36675367
litx,35.698229762672725,-79.17800556000647,20140825,NONE,1.9359999895095825,NONE,0,,,,0,0
ivpi,35.69825651727904,-79.17795650989488,20140825,NONE,1.4520000219345093,NONE,0,,,,0,0
prig,36.419997695587675,-79.07632021958369,20190621,2019-06-16,3.9210000038146973,L8,7843,8655,8241,18304,0.3790921,-0.35791388
jgjc,36.419997695587675,-79.07627116947211,20190621,2019-06-16,2.9049999713897705,L8,7814,8645,8267,18297,0.37757868,-0.35825107
ujtc,35.71702041451194,-79.14310417606114,20180730,2018-08-07,1.0169999599456787,S2,292,462,282,724,0.4393638,-0.7180348
tbhd,35.9199986944648,-76.23000467155234,20180808,2018-08-14,0.14499999582767487,S2,618,861,788,1208,0.21042085,-0.553886
dzcy,35.7900025214537,-79.02767588619164,20181107,2018-11-10,5.900000095367432,S2,93,238,213,478,0.3835022,-0.72612196
thfy,35.790002521453694,-79.02762683608006,20181107,2018-11-10,6.988999843597412,S2,93,238,213,478,0.3835022,-0.72612196
wiym,35.79399787599757,-79.01077143409803,20140825,NONE,0.9679999947547913,NONE,0,,,,0,0
ignc,35.698577572554896,-79.17736344945477,20140716,NONE,1.2100000381469727,NONE,0,,,,0,0
dpul,35.70762508859233,-79.16055709758433,20160810,2016-08-10,1.4520000219345093,L8,7776,8689,8212,15945,0.32011425,-0.29455224
accd,35.8668863418172,-78.81281410193137,20160524,2016-05-14,3.558000087738037,S2,186,384,221,619,0.4738095,-0.7664944
dgax,35.654343290104705,-79.25952238636451,20140910,2014-09-06,10.529000282287598,L8,20476,22285,21707,25943,0.08889822,-0.07584806
sclm,36.099999226689256,-78.89235554652272,20180521,2018-05-14,3.3389999866485596,S2,263,545,237,857,0.5667276,-0.77966446
wozi,35.79399787599757,-79.0105261835401,20140805,2014-08-05,4.35699987411499,L8,10096,11100,11333,12718,0.057585962,-0.067931816
azwk,35.64550535181677,-79.27593633734224,20190410,2019-04-04,14.52299976348877,S2,255,365,340,665,0.3233831,-0.6975973
jdir,35.6455321064231,-79.27588728723066,20190410,2019-04-04,0.41499999165534973,S2,255,365,340,665,0.3233831,-0.6975973
yooz,35.790002521453694,-79.02728348529895,20181018,2018-10-21,10.562000274658203,S2,75,201,121,383,0.51984125,-0.81466115
cvkq,35.4500005252295,-83.94000442981083,20190918,2019-09-22,0.125,S2,239,411,288,665,0.39559287,-0.6811482
epxg,35.4500005252295,-83.94000442981083,20190626,2019-07-04,4.77400016784668,S2,447,729,470,1006,0.36314362,-0.6623437
fssa,35.4500005252295,-83.94000442981083,20190814,2019-08-18,1.4559999704360962,S2,398,551,360,806,0.38250428,-0.6685714
hhxx,35.4500005252295,-83.94000442981083,20190520,2019-05-25,12.397000312805176,S2,655,856,597,1096,0.29474306,-0.65351146
ydhc,35.67267911363648,-79.2254637725183,20210909,2021-09-05,0.5809999704360962,S2,201,401,207,811,0.59332025,-0.78955656
gzeo,35.72572457976827,-79.12693993474241,20140812,2014-08-05,8.444999694824219,L8,7859,8701,8294,14982,0.2873346,-0.26521134
omme,35.790002521453694,-79.02179433190216,20170321,NONE,5.519000053405762,NONE,0,,,,0,0
hcza,35.65423627167942,-79.25971858681086,20140910,2014-09-06,7.624000072479248,L8,24210,24741,24523,27908,0.06456104,-0.06015309
zfgl,35.90039648623386,-79.08101119389191,20170621,2017-06-26,13.20300006866455,L8,7811,8369,7855,18586,0.40584698,-0.37903914
njlb,35.69881390491072,-79.17691753934943,20140623,2014-06-18,0.6539999842643738,L8,8083,9007,8308,21176,0.4364401,-0.40317398
xyyn,35.69879160940546,-79.17696658946102,20140623,2014-06-18,0.9440000057220459,L8,8083,9007,8308,21176,0.4364401,-0.40317398
hqcg,35.70738429713545,-79.16099854858862,20160824,2016-08-22,2.0329999923706055,S2,132,281,134,519,0.5895865,-0.8382734
lrsk,35.70741105174176,-79.16094949847704,20160824,2016-08-22,0.3630000054836273,S2,132,281,134,519,0.5895865,-0.8382734
cbqp,36.03000025835226,-78.68480668799009,20200722,2020-07-19,1.1619999408721924,S2,278,516,261,845,0.5280289,-0.7279199
hsir,36.007562061851324,-78.9689093934083,20130709,2013-07-17,7.184999942779541,L8,8377,8862,8626,14989,0.2694474,-0.2568865
znsn,35.64574614327366,-79.2754904272369,20190219,2019-02-18,4.14900016784668,S2,68,220,186,510,0.46551725,-0.78357106
dkgq,35.611326342242116,-78.98481946596698,20161005,2016-10-01,3.319000005722046,S2,226,385,255,649,0.4358407,-0.7284908
qdxf,35.672442781280644,-79.22590522352259,20211108,2021-11-09,10.25100040435791,S2,115,327,262,888,0.5443478,-0.7758739
mzpg,35.67246953588696,-79.225856173411,20211108,2021-11-09,0.5979999899864197,S2,115,327,262,888,0.5443478,-0.7758739
bibc,35.74200029861335,-79.20752926808133,20150622,2015-06-21,0.34200000762939453,L8,8013,8918,8542,17486,0.34362993,-0.3244963
hpjr,35.98000035823996,-78.80138096683032,20190226,2019-02-18,0.7260000109672546,S2,419,644,747,1077,0.18092105,-0.5019335
epzf,36.130000058576826,-79.0689537846434,20210915,2021-09-10,15.975000381469727,S2,139,298,175,540,0.5104895,-0.79919136
ghwo,35.69157678390097,-79.19036618812662,20180711,2018-07-08,2.9049999713897705,S2,225,461,189,796,0.61624366,-0.77087474
itfk,35.6916035385073,-79.19031713801503,20180711,2018-07-08,9.548999786376953,S2,225,461,189,796,0.61624366,-0.77087474
alpl,35.64404276667124,-79.2786519298838,20191017,2019-10-11,5.5320000648498535,S2,135,252,147,466,0.5203915,-0.78698224
vngr,35.709007409918904,-79.1579841962765,20210518,2021-05-13,0.14499999582767487,S2,314,639,319,1021,0.5238806,-0.73518443
alxv,35.976000544595024,-78.709661717262,20130320,2013-03-28,17.427000045776367,L8,8868,9790,10247,14214,0.16217652,-0.18430261
vfcg,35.8607952097782,-78.76409396382141,20130821,2013-08-11,16.13599967956543,L8,8194,8745,8069,21078,0.4463238,-0.4135399
alwh,36.04000202201513,-76.61000034512489,20210930,2021-09-27,0.3630000054836273,S2,248,284,240,212,-0.061946902,0.4715026
egjs,36.04000202201513,-76.61000034512489,20200924,2020-09-22,16.361000061035156,S2,348,343,333,357,0.034782607,0.055384614
hdvw,36.04000202201513,-76.61000034512489,20210826,2021-08-28,15.428999900817871,S2,280,302,295,313,0.029605264,0.22020201
jmvw,36.04000202201513,-76.61000034512489,20210517,2021-05-15,5.409999847412109,S2,765,863,897,912,0.008291874,0.08145364
nyul,36.04000202201513,-76.61000034512489,20201028,NONE,0.14499999582767487,NONE,0,,,,0,0
oomm,36.04000202201513,-76.61000034512489,20210721,2021-07-29,19.719999313354492,S2,607,600,584,622,0.03150912,0.101928376
ushn,36.04000202201513,-76.61000034512489,20200818,NONE,8.859000205993652,NONE,0,,,,0,0
wzxe,36.04000202201513,-76.61000034512489,20210427,2021-04-30,0.7009999752044678,S2,624,672,734,765,0.020680454,0.09624796
jotg,35.976000544595024,-78.76633243255024,20161214,2016-12-09,1.340999960899353,L8,8357,8834,8971,15298,0.26070297,-0.2678601
nyuz,35.70887809598835,-79.15823390593549,20210518,2021-05-13,3.049999952316284,S2,333,630,346,1050,0.504298,-0.72644377
dqgj,35.74200029861335,-79.2259230599268,20160406,2016-04-14,0.28999999165534973,S2,310,554,429,992,0.39619985,-0.6088952
xurw,35.569999393678785,-78.93958188577977,20180501,2018-05-09,14.024999618530273,S2,454,591,711,1042,0.18881917,-0.58114815
kwja,35.86349742501658,-78.78572060393063,20141008,2014-10-17,4.35699987411499,L8,7951,8391,7985,16573,0.34970275,-0.32775196
zxyn,35.646093953155834,-79.27484831668521,20181107,2018-11-10,3.1589999198913574,S2,60,220,183,518,0.47788873,-0.7850513
xqcg,36.069998394801665,-79.04680988881199,20200722,2020-07-12,0.8299999833106995,S2,1409,1708,1688,1846,0.044708546,-0.15319782
thsm,35.49000312077996,-79.06252822002538,20210511,2021-05-13,18.76300048828125,S2,246,431,225,653,0.48747152,-0.7448949
ipyt,35.672228744430086,-79.22630208351634,20140825,NONE,13.071000099182129,NONE,0,,,,0,0
yaup,35.884678155020445,-78.95523778957842,20170920,2017-09-21,5.809000015258789,S2,1989,2758,2666,2981,0.05578183,-0.0964783
jitt,35.715638093185376,-79.14567707736899,20160525,NONE,6.099999904632568,NONE,0,,,,0,0
blxo,35.6624856086283,-79.24439711559123,20190702,2019-07-03,2.630000114440918,S2,503,732,651,1121,0.26523703,-0.59956235
jekd,35.637282769474226,-79.2912087584503,20150824,2015-08-24,0.125,L8,7817,10991,10087,20143,0.33264968,-0.29395515
qilu,35.6372560148679,-79.2912578085619,20150824,2015-08-24,0.43799999356269836,L8,7817,10991,10087,20143,0.33264968,-0.29395515
spab,35.240003620218516,-83.0699981414751,20190603,2019-06-11,5.258999824523926,S2,149,147,84,59,-0.17482518,0.42718446
olbb,35.87374889833846,-78.86774576780876,20200311,NONE,0.10899999737739563,NONE,0,,,,0,0
pomm,35.904463186394594,-79.11357600888523,20190611,2019-06-03,2.9049999713897705,S2,466,566,338,794,0.40282685,-0.7634768
lxxz,35.976000544595024,-78.75439987813122,20160209,2016-02-14,0.7620000243186951,S2,352,457,552,692,0.11254019,-0.4443769
hfls,35.62788744355461,-79.30866167997348,20150622,2015-06-21,1.5019999742507935,L8,7758,8461,7925,17800,0.38386783,-0.3556224
dknf,35.72513597842922,-79.12802795539946,20180517,2018-05-09,0.0729999989271164,S2,328,567,294,915,0.5136476,-0.7740136
wsxp,35.72516273303553,-79.12797890528786,20180517,2018-05-09,5.683000087738037,S2,318,580,307,915,0.497545,-0.7626841
tgmv,35.68116924204224,-79.20969193209226,20170124,2017-01-29,11.960000038146973,S2,338,478,625,859,0.15768194,-0.5365972
mhka,35.68835731294038,-78.70096201110672,20160915,2016-09-11,6.534999847412109,S2,340,447,312,385,0.10473458,0.3586626
rrdw,35.86281518255541,-78.7802537460391,20140722,2014-07-29,9.197999954223633,L8,8363,8966,8255,20944,0.4345697,-0.40046808
agto,35.611326342242116,-78.97810851888154,20160722,2016-07-13,1.4520000219345093,S2,834,1227,1659,2067,0.1095008,-0.38092837
jqyz,35.68859810439728,-79.19589993253395,20200715,2020-07-12,7.98799991607666,S2,223,405,207,636,0.50889677,-0.7330257
zpac,35.799999826015515,-79.04037986509292,20171018,NONE,14.52299976348877,NONE,0,,,,0,0
qaln,35.79999982601551,-79.04033081498133,20171018,NONE,2.9049999713897705,NONE,0,,,,0,0
besc,35.87315583789835,-78.86302357979318,20191017,2019-10-11,4.35699987411499,S2,823,989,1079,1227,0.0641804,-0.2583427
yjzv,36.32999965902599,-79.07369826816426,20180906,2018-08-27,9.392000198364258,S2,602,921,830,1445,0.27032968,-0.5339069
engd,36.54000102313802,-79.06574323188492,20190919,2019-09-16,4.793000221252441,S2,239,450,457,977,0.36262202,-0.67225057
okzx,36.54000102313801,-79.06579228199651,20190919,2019-09-16,12.45300006866455,S2,241,468,378,1002,0.45217392,-0.7082294
pcvn,35.03599974702337,-79.11745096770068,20210310,2021-03-04,1.496000051498413,S2,944,1214,1461,1781,0.0987045,-0.375193
vikt,35.03599974702337,-79.11740191758909,20210310,2021-03-04,4.577000141143799,S2,944,1214,1461,1781,0.0987045,-0.375193
mjmu,35.7085570407125,-79.1588269663756,20210713,2021-07-07,19.315000534057617,L8,8831,10460,9344,18431,0.3271647,-0.27589908
yedw,35.70853028610618,-79.15887601648718,20210811,2021-08-11,5.486000061035156,S2,369,441,289,514,0.28019926,-0.42352942
quam,35.626157312345875,-79.31187223273197,20160509,2016-05-14,0.06300000101327896,S2,204,402,214,649,0.5040556,-0.78690696
xroz,35.629831611613916,-79.3050498081202,20160524,2016-05-14,2.9049999713897705,S2,185,374,202,627,0.51266587,-0.77429086
aixq,35.12000029266818,-78.72706112957255,20190812,2019-08-09,4.574999809265137,S2,733,807,597,1140,0.31260794,-0.6883568
omqf,35.688384067546714,-79.1962967925277,20200813,2020-08-11,5.373000144958496,S2,189,338,177,567,0.5241935,-0.7591735
rfos,35.611326342242116,-78.97288691154796,20160525,NONE,4.598999977111816,NONE,0,,,,0,0
ufck,35.87520702438294,-78.87942861256879,20201210,2020-12-11,0.593999981880188,L8,8742,9035,9248,12149,0.13557975,-0.14699773
ainj,35.70877107756307,-79.15843010638184,20210615,2021-06-17,1.343000054359436,S2,262,558,341,1026,0.5010973,-0.72002006
uqgx,35.70879783216939,-79.15838105627026,20210615,2021-06-17,5.809000015258789,S2,262,558,341,1026,0.5010973,-0.72002006
iugr,35.98000035823997,-78.76956528081399,20170207,2017-01-29,0.4359999895095825,S2,604,922,1044,1527,0.18786465,-0.48434004
dznb,35.72343260182681,-79.1311939171474,20130919,NONE,7.744999885559082,NONE,0,,,,0,0
mxjp,34.97000059233132,-79.08482372529261,20210714,2021-07-22,3.3889999389648438,S2,686,912,821,1274,0.21622911,-0.5245047
duse,36.03000025835226,-78.67734661192767,20200128,2020-01-26,8.78600025177002,S2,314,460,388,774,0.3321859,-0.64777946
bpki,35.629483801731745,-79.3056919186719,20141008,2014-10-08,0.47200000286102295,L8,14996,16386,16214,21921,0.14965256,-0.14449057
gtun,35.64606719854951,-78.67535785285784,20160810,2016-08-10,3.872999906539917,L8,8920,10708,10519,20120,0.31335878,-0.30530685
bmxo,35.90368730281129,-79.10736002201672,20190115,2019-01-09,1.0119999647140503,S2,285,554,615,986,0.23173016,-0.63201594
ybjz,35.64414978509653,-79.27845572943744,20190904,2019-09-11,4.468999862670898,S2,243,338,191,514,0.45815602,-0.7383901
qrwm,35.8834385249276,-78.9452984533303,20170321,NONE,16.13599967956543,NONE,0,,,,0,0
vtvx,35.98000035823996,-78.76981053137193,20170207,2017-01-29,3.9210000038146973,S2,451,864,754,1618,0.3642496,-0.6210526
ahrn,35.683327446952106,-79.20568765934627,20151012,2015-10-11,11.170999526977539,L8,7996,8620,8748,16219,0.299235,-0.3059302
uuph,35.669700434132764,-79.23099751692563,20150909,2015-09-09,0.6589999794960022,L8,5439,11182,10111,15931,0.22348514,-0.17515583
cqvi,36.13000005857684,-79.06861043386228,20210714,2021-07-12,10.9350004196167,S2,555,842,612,1232,0.3362256,-0.645772
ifmw,35.66123706033333,-79.24672030724007,20200203,2020-01-29,3.444000005722046,S2,454,515,716,959,0.14507462,-0.543642
qzkr,35.66121030572701,-79.24676935735165,20200203,2020-01-29,5.322000026702881,S2,303,366,527,719,0.1540931,-0.54814816
izmv,35.64782408436457,-79.27163330482567,20171018,NONE,5.71999979019165,NONE,0,,,,0,0
rnyo,36.03000025835226,-78.67710136136974,20200128,2020-01-26,19.315000534057617,S2,241,339,271,597,0.37557605,-0.6374332
wgjk,35.71933468795867,-79.13880560264563,20180501,2018-05-09,3.121999979019165,S2,1019,1423,1728,1823,0.026753027,-0.3977994
dqon,35.71930793335237,-79.13885465275722,20180501,2018-05-09,2.177999973297119,S2,1019,1423,1728,1823,0.026753027,-0.3977994
kuan,36.54000102313801,-79.0645571110047,20190528,2019-05-19,2.2149999141693115,S2,268,497,344,935,0.46207976,-0.72967094
dsij,36.13000005857683,-79.06826262398013,20210623,2021-06-17,1.1619999408721924,S2,429,720,665,1225,0.2962963,-0.64170194
wjfb,36.130000058576826,-79.06821357386852,20210623,2021-06-17,0.7260000109672546,S2,428,731,631,1215,0.3163597,-0.65256655
avhu,35.799999826015515,-79.0393944037601,20170816,NONE,18.152999877929688,NONE,0,,,,0,0
fvfl,36.54000102313801,-79.06480236156264,20190528,2019-05-19,9.803000450134277,S2,800,1098,1542,1849,0.09053376,-0.40840518
wqcw,36.54000102313801,-79.06485141167423,20190619,2019-06-16,5.664000034332275,L8,9429,10025,10601,18117,0.26171738,-0.28754175
gueg,35.695942243832306,-79.18225954241146,20150924,NONE,2.5409998893737793,NONE,0,,,,0,0
xjei,35.62594327549531,-79.31226909272573,20160524,2016-05-14,18.031999588012695,S2,190,369,201,579,0.4846154,-0.7722222
kkse,35.97600054459503,-78.70891704738608,20130227,NONE,12.562000274658203,NONE,0,,,,0,0
prgi,36.390001322801155,-78.9306324699655,20190930,2019-09-21,1.0889999866485596,S2,239,316,222,516,0.398374,-0.7390586
ijkf,35.68311341010154,-79.20608451934002,20151207,2015-12-16,0.9679999947547913,S2,310,494,851,1098,0.12673166,-0.5888473
fxnp,35.66994122558966,-79.23055606592133,20150806,2015-08-08,0.8539999723434448,L8,7621,8413,7925,16592,0.3535098,-0.32709458
ljvg,35.66099626887644,-79.24716621734541,20200311,NONE,1.1269999742507935,NONE,0,,,,0,0
bzsv,35.71404173500824,-79.14864237956952,20160525,NONE,2.177999973297119,NONE,0,,,,0,0
yrfq,35.71406848961456,-79.14859332945794,20160525,NONE,0.035999998450279236,NONE,0,,,,0,0
rzbb,35.976000544595024,-78.70866733772708,20130227,NONE,5.264999866485596,NONE,0,,,,0,0
qyxi,34.939999760443726,-79.10350735870655,20210714,2021-07-22,17.790000915527344,S2,347,476,221,635,0.48364487,-0.7715931
xayy,36.172000331399246,-79.05091226178115,20130605,2013-05-30,19.315000534057617,L8,8323,9616,8755,25569,0.4898613,-0.45340344
lwlt,36.17200033139924,-79.05096131189275,20130605,2013-05-30,9.003999710083008,L8,8323,9616,8755,25569,0.4898613,-0.45340344
cagn,35.6920539077137,-79.18947436791593,20180322,2018-03-15,4.420000076293945,S2,384,494,589,884,0.20027156,-0.55192745
vewc,35.64606719854951,-78.67635223239276,20160810,2016-08-10,9.682000160217285,L8,9713,10871,11281,19962,0.27785423,-0.29484645
mcmr,35.69572820698174,-79.18265194330417,20151112,2015-11-12,0.2639999985694885,L8,7756,8289,8024,13700,0.26127785,-0.24607758
ltme,35.69570145237541,-79.18270099341575,20151207,2015-12-16,1.8480000495910645,S2,27,193,167,464,0.47068146,-0.7882611
otkn,35.74200029861335,-79.20628517888743,20150622,2015-06-21,2.7339999675750732,L8,8110,9216,8750,19182,0.37347844,-0.3509402
pjfl,35.70121290127747,-79.17246735649809,20130501,NONE,1.3070000410079956,NONE,0,,,,0,0
bdxv,35.704989759869754,-79.16544873143997,20170628,2017-07-03,0.41499999165534973,S2,225,338,250,560,0.38271606,-0.73510975
jbfz,35.74200029861335,-79.21622897423661,20150924,NONE,18.395999908447266,NONE,0,,,,0,0
iwst,36.32999965902599,-79.1158679868267,20200624,2020-07-02,0.5329999923706055,S2,188,377,168,653,0.590743,-0.7895618
jbat,35.45999782979132,-78.86948481721961,20190619,2019-06-20,7.701000213623047,S2,299,564,271,905,0.53911567,-0.7606112
teud,35.71954872480924,-79.13840874265188,20130827,2013-09-03,3.377000093460083,L8,7680,8529,7914,19601,0.42475015,-0.39360115
oecb,36.32999965902599,-79.11556922705614,20200601,2020-06-02,13.845000267028809,S2,273,470,234,750,0.5243902,-0.7857794
gxym,35.64085005031698,-79.28458699338593,20210712,2021-07-07,4.646999835968018,L8,8001,9080,8249,23809,0.48537028,-0.4478397
rorv,35.64082329571066,-79.28463604349754,20210712,2021-07-07,10.166000366210938,L8,8001,9080,8249,23809,0.48537028,-0.4478397
ftlw,35.71300276446278,-79.03934535364851,20151112,2015-11-12,8.60200023651123,L8,7459,7943,7810,7328,-0.031840403,0.04027241
fzaq,36.03000025835226,-79.09021031936518,20180503,2018-05-09,0.9390000104904175,S2,1172,1516,1656,1903,0.06940152,-0.2925805
vrvm,36.03000025835226,-79.09025936947677,20180503,2018-05-09,10.996000289916992,S2,1172,1516,1656,1903,0.06940152,-0.2925805
sein,35.68470976827867,-79.20311921713947,20150610,NONE,3.63100004196167,NONE,0,,,,0,0
iwjh,35.857691675445,-78.7392389345495,20140715,2014-07-13,3.194999933242798,L8,8172,8928,8158,18902,0.39704362,-0.3583902
jupu,35.71962898862821,-79.13826159231711,20130722,2013-07-17,0.10899999737739563,L8,8019,8819,8071,21984,0.46291798,-0.42739344
zrwj,35.71965574323453,-79.13821254220552,20130722,2013-07-17,0.8709999918937683,L8,8019,8819,8071,21984,0.46291798,-0.42739344
odgx,36.03000025835226,-79.09050907913576,20180614,NONE,5.367000102996826,NONE,0,,,,0,0
ntie,35.66064845899428,-79.24780832789713,20200610,2020-06-02,3.872999906539917,S2,353,624,400,1090,0.46308726,-0.68147016
uwqq,35.7900025214537,-79.02955762683621,20190702,2019-07-03,3.049999952316284,S2,264,462,310,832,0.45709282,-0.733564
lcak,35.90222471766576,-79.0956771772567,20180509,2018-05-09,1.1979999542236328,S2,279,535,247,770,0.5142576,-0.69358534
fgvz,35.69237496298955,-79.18888130747582,20171206,2017-12-10,13.215999603271484,S2,258,354,429,630,0.1898017,-0.56350183
kgnx,35.69240171759586,-79.18883225736424,20171206,2017-12-10,11.036999702453613,S2,258,354,429,630,0.1898017,-0.56350183
raez,35.790002521453694,-79.02985192750575,20190904,2019-09-11,5.083000183105469,S2,263,413,275,714,0.4438827,-0.7140879
ukmd,35.723223024077285,-79.1315863180401,20180607,2018-06-03,1.1299999952316284,S2,614,962,938,1528,0.23925385,-0.54835683
cpwi,35.88042417261546,-78.9211880939343,20150924,NONE,11.618000030517578,NONE,0,,,,0,0
njzy,34.93999976044373,-79.10316400792543,20210623,2021-06-17,9.07699966430664,S2,199,419,223,723,0.5285412,-0.80624276
vfer,35.66999919390336,-79.04952548135354,20200603,2020-06-02,12.86299991607666,S2,217,381,228,610,0.45584726,-0.7228083
qfyw,35.66999919390336,-79.04957453146513,20200603,2020-06-02,16.597000122070312,S2,241,438,233,721,0.5115304,-0.75537556
tnac,35.874618423043884,-78.87470642455318,20200813,2020-08-11,0.48399999737739563,S2,587,829,584,1336,0.39166668,-0.58404416
gpgi,35.86999879435251,-79.08670100683611,20170919,2017-09-21,0.8769999742507935,S2,314,404,238,552,0.39746836,-0.70500183
dgih,34.93999976044373,-79.10281619804327,20210525,2021-05-23,3.812000036239624,S2,273,425,237,640,0.45952109,-0.7492625
rwgq,35.89436778160959,-79.03279047509996,20150324,2015-04-02,2.177999973297119,L8,9233,9790,10210,14305,0.16704059,-0.18738328
myla,34.20761916702156,-78.92764933136075,20160608,2016-06-07,6.803999900817871,L8,8812,9171,9459,11554,0.09970018,-0.114981905
hjoz,35.66999919390336,-79.049231180684,20200514,2020-05-23,15.154000282287598,S2,197,355,202,561,0.47051114,-0.7336834
hcdk,35.88412076738877,-78.95076531122182,20170720,2017-07-12,0.12099999934434891,L8,7913,9249,8472,22023,0.44436792,-0.40848044
iooh,36.32999965902598,-79.07340396749476,20180712,2018-07-08,13.77400016784668,S2,935,1351,1483,1963,0.13929193,-0.4252287
luxd,35.91415281298373,-79.19112423530571,20140825,NONE,3.872999906539917,NONE,0,,,,0,0
bktj,35.68266304089514,-79.20692283033807,20160509,2016-05-14,1.4989999532699585,S2,330,578,477,1057,0.3780965,-0.67103016
ypnb,35.03599974702337,-79.1177452683702,20210420,2021-04-13,1.7430000305175781,S2,1019,1260,1376,1634,0.08571429,-0.31222707
ruwg,35.03599974702337,-79.11779431848178,20210420,2021-04-13,0.8299999833106995,S2,1019,1260,1376,1634,0.08571429,-0.31222707
bdey,35.67039159479606,-79.22971329582222,20150707,2015-07-07,1.1260000467300415,L8,7814,8815,8121,18979,0.4006642,-0.36569044
yicz,35.72298223262039,-79.13203222814545,20180827,2018-08-27,3.3889999389648438,S2,261,373,218,630,0.48584905,-0.7257353
agpk,35.72295547801408,-79.13208127825703,20180827,2018-08-27,0.48399999737739563,S2,261,373,218,630,0.48584905,-0.7257353
ikqs,35.7900025214537,-79.02920981695404,20190516,2019-05-19,10.373000144958496,S2,204,380,271,710,0.44750255,-0.73519164
uksz,35.790002521453694,-79.02925886706562,20190516,2019-05-19,16.04400062561035,S2,204,380,271,710,0.44750255,-0.73519164
fykt,36.169021651895534,-79.05461777475657,20150527,2015-05-20,6.809000015258789,L8,8500,9596,9134,23081,0.43293497,-0.4126756
sbvg,35.03599974702337,-79.11804402814079,20210526,2021-05-23,0.41499999165534973,S2,798,995,1127,1615,0.17797229,-0.38485315
hdgp,35.626505122228046,-79.31123012218028,20160127,2016-01-31,0.09399999678134918,L8,8132,8767,8896,15127,0.25937644,-0.2661756
ytrv,35.682529267863536,-79.20717253999706,20160524,2016-05-14,3.111999988555908,S2,313,590,476,1096,0.39440203,-0.68988174
wopx,35.67049861322133,-79.22951709537588,20150622,2015-06-21,17.06399917602539,L8,7824,8633,8044,18773,0.40008205,-0.36999196
liod,35.71462587724624,-79.14755435891249,20160831,2016-08-22,2.4200000762939453,S2,151,326,163,538,0.5349501,-0.8039098
fxbz,35.87182256668337,-78.85233511456805,20190219,2019-02-18,0.6899999976158142,S2,177,433,484,915,0.3080772,-0.6908247
nlhq,36.169021651895534,-79.05481843430397,20150820,2015-08-24,1.2990000247955322,L8,8234,9470,9292,19912,0.3636488,-0.35538766
lpth,36.169021651895534,-79.05486748441557,20150820,2015-08-24,4.070000171661377,L8,8234,9470,9292,19912,0.3636488,-0.35538766
